90.0 ,2.89E-04,+7.3,-7.1 
95.0 ,2.89E-04,+7.3,-7.1 
100.0 ,2.88E-04,+7.2,-7.0 
105.0 ,2.84E-04,+7.1,-7.0 
110.0 ,2.76E-04,+7.0,-6.8 
110.5 ,2.75E-04,+6.9,-6.8 
111.0 ,2.74E-04,+6.9,-6.8 
111.5 ,2.72E-04,+6.9,-6.8 
112.0 ,2.71E-04,+6.9,-6.7 
112.5 ,2.70E-04,+6.8,-6.7 
113.0 ,2.69E-04,+6.8,-6.7 
113.5 ,2.67E-04,+6.8,-6.7 
114.0 ,2.66E-04,+6.8,-6.7 
114.5 ,2.64E-04,+6.8,-6.6 
115.0 ,2.63E-04,+6.7,-6.6 
115.5 ,2.61E-04,+6.7,-6.6 
116.0 ,2.60E-04,+6.7,-6.6 
116.5 ,2.58E-04,+6.6,-6.5 
117.0 ,2.56E-04,+6.6,-6.5 
117.5 ,2.54E-04,+6.6,-6.5 
118.0 ,2.52E-04,+6.5,-6.4 
118.5 ,2.50E-04,+6.5,-6.4 
119.0 ,2.48E-04,+6.5,-6.4 
119.5 ,2.46E-04,+6.4,-6.3 
120.0 ,2.44E-04,+6.4,-6.3 
120.5 ,2.42E-04,+6.4,-6.3 
121.0 ,2.39E-04,+6.3,-6.2 
121.5 ,2.37E-04,+6.3,-6.2 
122.0 ,2.35E-04,+6.2,-6.1 
122.5 ,2.33E-04,+6.2,-6.1 
123.0 ,2.31E-04,+6.2,-6.0 
123.5 ,2.28E-04,+6.1,-6.0 
124.0 ,2.25E-04,+6.1,-6.0 
124.5 ,2.22E-04,+6.0,-5.9 
125.0 ,2.20E-04,+6.0,-5.9 
125.5 ,2.17E-04,+6.0,-5.8 
126.0 ,2.14E-04,+5.9,-5.8 
126.5 ,2.11E-04,+5.9,-5.7 
127.0 ,2.08E-04,+5.8,-5.7 
127.5 ,2.05E-04,+5.8,-5.6 
128.0 ,2.01E-04,+5.7,-5.6 
128.5 ,1.98E-04,+5.7,-5.5 
129.0 ,1.95E-04,+5.6,-5.5 
129.5 ,1.92E-04,+5.6,-5.5 
130.0 ,1.90E-04,+5.5,-5.4 
130.5 ,1.86E-04,+5.5,-5.4 
131.0 ,1.82E-04,+5.4,-5.3 
131.5 ,1.80E-04,+5.4,-5.3 
132.0 ,1.77E-04,+5.3,-5.2 
132.5 ,1.72E-04,+5.2,-5.2 
133.0 ,1.69E-04,+5.2,-5.1 
133.5 ,1.67E-04,+5.1,-5.1 
134.0 ,1.63E-04,+5.1,-5.0 
134.5 ,1.60E-04,+5.0,-5.0 
135.0 ,1.55E-04,+5.0,-4.9 
135.5 ,1.52E-04,+4.8,-4.8 
136.0 ,1.49E-04,+4.7,-4.7 
136.5 ,1.45E-04,+4.6,-4.6 
137.0 ,1.42E-04,+4.5,-4.5 
137.5 ,1.39E-04,+4.3,-4.4 
138.0 ,1.35E-04,+4.2,-4.3 
138.5 ,1.32E-04,+4.1,-4.2 
139.0 ,1.29E-04,+4.0,-4.0 
139.5 ,1.25E-04,+3.8,-3.9 
140.0 ,1.22E-04,+3.7,-3.8 
141.0 ,1.15E-04,+3.6,-3.7 
142.0 ,1.09E-04,+3.6,-3.6 
143.0 ,1.03E-04,+3.5,-3.6 
144.0 ,9.67E-05,+3.5,-3.5 
145.0 ,9.06E-05,+3.4,-3.4 
146.0 ,8.46E-05,+3.4,-3.4 
147.0 ,7.87E-05,+3.3,-3.3 
148.0 ,7.26E-05,+3.2,-3.3 
149.0 ,6.74E-05,+3.2,-3.2 
150.0 ,6.19E-05,+3.1,-3.2 
151.0 ,5.65E-05,+3.1,-3.1 
152.0 ,5.13E-05,+3.0,-3.1 
153.0 ,4.63E-05,+3.0,-3.0 
154.0 ,4.14E-05,+2.9,-3.0 
155.0 ,3.65E-05,+2.9,-2.9 
156.0 ,3.17E-05,+2.8,-2.9 
157.0 ,2.71E-05,+2.8,-2.8 
158.0 ,2.25E-05,+2.8,-2.7 
159.0 ,1.80E-05,+2.8,-2.7 
160.0 ,1.38E-05,+2.7,-2.6 
162.0 ,7.87E-06,+2.7,-2.6 
164.0 ,5.43E-06,+2.7,-2.6 
165.0 ,4.75E-06,+2.7,-2.6 
166.0 ,4.30E-06,+2.7,-2.6 
168.0 ,3.63E-06,+2.6,-2.6 
170.0 ,3.19E-06,+2.6,-2.6 
172.0 ,2.86E-06,+2.6,-2.6 
174.0 ,2.60E-06,+2.6,-2.6 
175.0 ,2.49E-06,+2.6,-2.6 
176.0 ,2.39E-06,+2.7,-2.6 
178.0 ,2.20E-06,+2.7,-2.6 
180.0 ,2.04E-06,+2.7,-2.6 
182.0 ,1.85E-06,+2.7,-2.6 
184.0 ,1.67E-06,+2.7,-2.6 
185.0 ,1.59E-06,+2.7,-2.6 
186.0 ,1.52E-06,+2.6,-2.5 
188.0 ,1.40E-06,+2.6,-2.5 
190.0 ,1.31E-06,+2.6,-2.5 
192.0 ,1.23E-06,+2.6,-2.5 
194.0 ,1.16E-06,+2.6,-2.6 
195.0 ,1.13E-06,+2.6,-2.6 
196.0 ,1.10E-06,+2.6,-2.6 
198.0 ,1.05E-06,+2.6,-2.6 
200.0 ,9.96E-07,+2.6,-2.6 
202.0 ,9.52E-07,+2.6,-2.6 
204.0 ,9.13E-07,+2.6,-2.6 
206.0 ,8.76E-07,+2.6,-2.6 
208.0 ,8.43E-07,+2.6,-2.6 
210.0 ,8.11E-07,+2.6,-2.6 
212.0 ,7.81E-07,+2.6,-2.6 
214.0 ,7.54E-07,+2.6,-2.6 
216.0 ,7.29E-07,+2.6,-2.6 
218.0 ,7.04E-07,+2.6,-2.6 
220.0 ,6.81E-07,+2.6,-2.6 
222.0 ,6.59E-07,+2.6,-2.6 
224.0 ,6.39E-07,+2.6,-2.6 
226.0 ,6.19E-07,+2.6,-2.6 
228.0 ,6.00E-07,+2.6,-2.6 
230.0 ,5.82E-07,+2.6,-2.6 
232.0 ,5.65E-07,+2.6,-2.6 
234.0 ,5.49E-07,+2.6,-2.6 
236.0 ,5.33E-07,+2.6,-2.6 
238.0 ,5.19E-07,+2.6,-2.6 
240.0 ,5.05E-07,+2.6,-2.6 
242.0 ,4.91E-07,+2.6,-2.6 
244.0 ,4.78E-07,+2.6,-2.6 
246.0 ,4.66E-07,+2.6,-2.6 
248.0 ,4.53E-07,+2.6,-2.6 
250.0 ,4.42E-07,+2.6,-2.6 
252.0 ,4.31E-07,+2.6,-2.6 
254.0 ,4.20E-07,+2.6,-2.6 
256.0 ,4.10E-07,+2.6,-2.6 
258.0 ,4.00E-07,+2.6,-2.6 
260.0 ,3.90E-07,+2.6,-2.6 
262.0 ,3.81E-07,+2.6,-2.6 
264.0 ,3.72E-07,+2.6,-2.6 
266.0 ,3.63E-07,+2.6,-2.6 
268.0 ,3.55E-07,+2.6,-2.6 
270.0 ,3.47E-07,+2.6,-2.6 
272.0 ,3.40E-07,+2.6,-2.6 
274.0 ,3.32E-07,+2.6,-2.6 
276.0 ,3.25E-07,+2.6,-2.6 
278.0 ,3.18E-07,+2.6,-2.6 
280.0 ,3.11E-07,+2.6,-2.6 
282.0 ,3.05E-07,+2.6,-2.6 
284.0 ,2.98E-07,+2.6,-2.6 
286.0 ,2.92E-07,+2.6,-2.6 
288.0 ,2.86E-07,+2.6,-2.6 
290.0 ,2.81E-07,+2.6,-2.6 
295.0 ,2.67E-07,+2.6,-2.6 
300.0 ,2.55E-07,+2.6,-2.6 
305.0 ,2.43E-07,+2.6,-2.6 
310.0 ,2.32E-07,+2.6,-2.6 
315.0 ,2.22E-07,+2.7,-2.5 
320.0 ,2.12E-07,+2.7,-2.5 
325.0 ,2.03E-07,+2.6,-2.5 
330.0 ,1.95E-07,+2.6,-2.5 
335.0 ,1.87E-07,+2.6,-2.5 
340.0 ,1.80E-07,+2.7,-2.5 
345.0 ,1.74E-07,+3.5,-3.7 
350.0 ,1.65E-07,+4.2,-4.9 
360.0 ,1.47E-07,+5.6,-4.9 
370.0 ,1.31E-07,+5.8,-4.8 
380.0 ,1.18E-07,+5.8,-4.6 
390.0 ,1.07E-07,+5.9,-4.5 
400.0 ,9.83E-08,+5.8,-4.3 
410.0 ,9.07E-08,+5.7,-4.2 
420.0 ,8.41E-08,+5.6,-4.1 
430.0 ,7.84E-08,+5.5,-4.0 
440.0 ,7.34E-08,+5.4,-3.9 
450.0 ,6.91E-08,+5.3,-3.8 
460.0 ,6.52E-08,+5.3,-3.7 
470.0 ,6.17E-08,+5.2,-3.6 
480.0 ,5.86E-08,+5.1,-3.5 
490.0 ,5.57E-08,+5.0,-3.5 
500.0 ,5.31E-08,+5.1,-3.1 
510.0 ,5.07E-08,+5.1,-3.1 
520.0 ,4.85E-08,+5.1,-3.1 
530.0 ,4.64E-08,+5.2,-3.2 
540.0 ,4.44E-08,+5.4,-3.4 
550.0 ,4.27E-08,+5.5,-3.5 
560.0 ,4.10E-08,+5.6,-3.6 
570.0 ,3.95E-08,+5.7,-3.8 
580.0 ,3.80E-08,+5.8,-4.0 
590.0 ,3.67E-08,+6.0,-4.0 
600.0 ,3.54E-08,+6.1,-4.2 
610.0 ,3.42E-08,+6.2,-4.4 
620.0 ,3.30E-08,+6.3,-4.5 
630.0 ,3.19E-08,+6.6,-4.7 
640.0 ,3.09E-08,+6.7,-4.9 
650.0 ,2.99E-08,+6.8,-5.0 
660.0 ,2.90E-08,+7.0,-5.2 
670.0 ,2.81E-08,+7.2,-5.4 
680.0 ,2.72E-08,+7.4,-5.5 
690.0 ,2.64E-08,+7.5,-5.8 
700.0 ,2.56E-08,+7.8,-6.0 
710.0 ,2.48E-08,+8.0,-6.2 
720.0 ,2.41E-08,+8.3,-6.4 
730.0 ,2.34E-08,+8.5,-6.7 
740.0 ,2.27E-08,+8.8,-6.8 
750.0 ,2.21E-08,+9.1,-7.1 
760.0 ,2.15E-08,+9.3,-7.3 
770.0 ,2.09E-08,+9.6,-7.6 
780.0 ,2.03E-08,+10.0,-7.9 
790.0 ,1.97E-08,+10.3,-8.1 
800.0 ,1.92E-08,+10.7,-8.5 
810.0 ,1.86E-08,+11.1,-8.8 
820.0 ,1.81E-08,+11.5,-9.1 
830.0 ,1.76E-08,+11.8,-9.4 
840.0 ,1.72E-08,+12.3,-9.7 
850.0 ,1.67E-08,+12.8,-10.1 
860.0 ,1.62E-08,+13.3,-10.4 
870.0 ,1.58E-08,+13.8,-10.8 
880.0 ,1.54E-08,+14.3,-11.1 
890.0 ,1.50E-08,+14.9,-11.5 
900.0 ,1.46E-08,+15.5,-11.8 
910.0 ,1.42E-08,+16.0,-12.3 
920.0 ,1.38E-08,+16.7,-12.7 
930.0 ,1.34E-08,+17.4,-13.1 
940.0 ,1.31E-08,+18.1,-13.5 
950.0 ,1.27E-08,+18.9,-13.9 
960.0 ,1.24E-08,+19.7,-14.3 
970.0 ,1.21E-08,+20.5,-14.8 
980.0 ,1.17E-08,+21.2,-15.3 
990.0 ,1.14E-08,+22.2,-15.8 
1000.0,1.11E-08,+23.1,-16.3 
